individual_tree_id;species_id;method;year_monitored;branching;canopy_size;height;health;years_after_planting
925;282;PowerCoat;2018;NA;nan;64;NA;0
924;282;PowerCoat;2018;NA;nan;48;NA;0
919;282;PowerCoat;2018;NA;nan;32;NA;0
905;284;PowerCoat;2018;NA;nan;50;NA;0
903;284;PowerCoat;2018;NA;nan;46;NA;0
901;284;PowerCoat;2018;NA;nan;62;NA;0
931;282;PowerCoat;2018;NA;nan;30;NA;0
928;282;Mycorrhiza;2018;NA;nan;28;NA;0
929;282;PowerCoat;2018;NA;nan;52;NA;0
930;284;Mycorrhiza;2018;NA;nan;64;NA;0
1794;282;PowerCoat;2018;NA;nan;58;NA;0
1782;284;PowerCoat;2018;NA;nan;66;NA;0
1792;284;PowerCoat;2018;NA;nan;74;NA;0
1764;284;PowerCoat;2018;NA;nan;64;NA;0
1768;284;PowerCoat;2018;NA;nan;66;NA;0
1778;282;PowerCoat;2018;NA;nan;52;NA;0
1740;282;PowerCoat;2018;NA;nan;52;NA;0
1748;282;PowerCoat;2018;NA;nan;60;NA;0
1742;282;Mycorrhiza;2018;NA;nan;34;NA;0
1746;282;PowerCoat;2018;NA;nan;36;NA;0
1750;285;Mycorrhiza;2018;NA;nan;50;NA;0
1741;285;Mycorrhiza;2018;NA;nan;42;NA;0
1737;280;Fencing;2018;NA;nan;36;NA;0
1717;285;Fencing;2018;NA;nan;44;NA;0
1714;283;Fencing;2018;NA;nan;66;NA;0
1710;280;Fencing;2018;NA;nan;44;NA;0
1721;283;Fencing;2018;NA;nan;80;NA;0
1718;285;Fencing;2018;NA;nan;40;NA;0
1719;284;PowerCoat;2018;NA;nan;52;NA;0
955;285;Mycorrhiza;2018;NA;nan;44;NA;0
957;281;Mycorrhiza;2018;NA;nan;46;NA;0
958;280;Mycorrhiza;2018;NA;nan;92;NA;0
959;281;Mycorrhiza;2018;NA;nan;46;NA;0
960;285;Mycorrhiza;2018;NA;nan;36;NA;0
961;280;Mycorrhiza;2018;NA;nan;26;NA;0
963;280;Mycorrhiza;2018;NA;nan;28;NA;0
965;283;Mycorrhiza;2018;NA;nan;30;NA;0
970;283;Fencing;2018;NA;nan;38;NA;0
969;283;Fencing;2018;NA;nan;32;NA;0
968;280;Fencing;2018;NA;nan;36;NA;0
967;283;Fencing;2018;NA;nan;24;NA;0
973;283;Fencing;2018;NA;nan;40;NA;0
972;284;Fencing;2018;NA;nan;60;NA;0
978;283;Fencing;2018;NA;nan;38;NA;0
976;280;Fencing;2018;NA;nan;54;NA;0
982;280;Fencing;2018;NA;nan;50;NA;0
981;283;Fencing;2018;NA;nan;40;NA;0
979;282;Mycorrhiza;2018;NA;nan;58;NA;0
980;282;Mycorrhiza;2018;NA;nan;50;NA;0
986;285;Mycorrhiza;2018;NA;nan;52;NA;0
983;285;Mycorrhiza;2018;NA;nan;48;NA;0
985;281;Mycorrhiza;2018;NA;nan;24;NA;0
990;280;Mycorrhiza;2018;NA;nan;34;NA;0
991;285;Mycorrhiza;2018;NA;nan;30;NA;0
993;282;Mycorrhiza;2018;NA;nan;54;NA;0
1040;281;Mycorrhiza;2018;NA;nan;36;NA;0
1041;285;Mycorrhiza;2018;NA;nan;40;NA;0
1046;284;Mycorrhiza;2018;NA;nan;64;NA;0
1048;280;Mycorrhiza;2018;NA;nan;26;NA;0
1050;283;Mycorrhiza;2018;NA;nan;16;NA;0
1053;282;Mycorrhiza;2018;NA;nan;46;NA;0
1052;285;Mycorrhiza;2018;NA;nan;48;NA;0
1079;285;Fencing;2018;NA;nan;30;NA;0
1082;285;Fencing;2018;NA;nan;28;NA;0
1083;282;Fencing;2018;NA;nan;62;NA;0
1089;283;Fencing;2018;NA;nan;26;NA;0
1092;285;Fencing;2018;NA;nan;68;NA;0
1090;284;Fencing;2018;NA;nan;54;NA;0
1059;283;Fencing;2018;NA;nan;34;NA;0
1064;285;Fencing;2018;NA;nan;28;NA;0
1065;284;Fencing;2018;NA;nan;48;NA;0
1070;284;Fencing;2018;NA;nan;80;NA;0
1101;282;Fencing;2018;NA;nan;52;NA;0
1103;283;Fencing;2018;NA;nan;28;NA;0
1109;284;Fencing;2018;NA;nan;52;NA;0
1106;283;Fencing;2018;NA;nan;38;NA;0
1107;282;Fencing;2018;NA;nan;42;NA;0
1111;282;Fencing;2018;NA;nan;36;NA;0
1112;284;Fencing;2018;NA;nan;52;NA;0
1115;283;Fencing;2018;NA;nan;28;NA;0
1118;284;Fencing;2018;NA;nan;40;NA;0
1120;283;Fencing;2018;NA;nan;34;NA;0
1131;285;Fencing;2018;NA;nan;28;NA;0
1130;284;Fencing;2018;NA;nan;46;NA;0
1154;285;Fencing;2018;NA;nan;20;NA;0
1152;280;Fencing;2018;NA;nan;26;NA;0
1153;283;Fencing;2018;NA;nan;24;NA;0
